"","location","date","temp","sun","wind","time","count","search_terms","lon","lat"
"576","Kagy & 7th","2014-09-11",NA,NA,NA,"5:45-6:00",14,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"577","Lamme & Grand","2014-09-11",NA,NA,NA,"5:45-6:00",NA,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"578","Peach & Rouse","2014-09-11",NA,NA,NA,"5:45-6:00",4,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"579","Garfield & Main","2014-09-11",NA,NA,NA,"5:45-6:00",13,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"580","Durston & 15th","2014-09-11",NA,NA,NA,"5:45-6:00",NA,"Durston & 15th bozeman, montana",-111.056505,45.685891
"581","Church & Story","2014-09-11",NA,NA,NA,"5:45-6:00",18,"Church & Story bozeman, montana",-111.0638997,45.6628635
"582","Grant & 7th","2014-09-11",NA,NA,NA,"5:45-6:00",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"583","Main & Babcock","2014-09-11",NA,NA,NA,"5:45-6:00",6,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"584","Kagy & Highland","2014-09-11",NA,NA,NA,"5:45-6:00",2,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"585","MSU Centennial","2014-09-11",NA,NA,NA,"5:45-6:00",59,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"586","Koch & 8th","2014-09-11",NA,NA,NA,"5:45-6:00",13,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"587","Main & Wallace","2014-09-11",NA,NA,NA,"5:45-6:00",8,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"588","Olive & Willson","2014-09-11",NA,NA,NA,"5:45-6:00",15,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"589","College & 11th","2014-09-11",NA,NA,NA,"6:00-6:15",41,"College & 11th bozeman, montana",-111.051332,45.668484
"590","Kagy & 3rd","2014-09-11",NA,NA,NA,"6:00-6:15",7,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"591","Kagy & 7th","2014-09-11",NA,NA,NA,"6:00-6:15",19,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"592","Lamme & Grand","2014-09-11",NA,NA,NA,"6:00-6:15",NA,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"593","Peach & Rouse","2014-09-11",NA,NA,NA,"6:00-6:15",6,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"594","Garfield & Main","2014-09-11",NA,NA,NA,"6:00-6:15",6,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"595","Durston & 15th","2014-09-11",NA,NA,NA,"6:00-6:15",NA,"Durston & 15th bozeman, montana",-111.056505,45.685891
"596","Church & Story","2014-09-11",NA,NA,NA,"6:00-6:15",15,"Church & Story bozeman, montana",-111.0638997,45.6628635
"597","Grant & 7th","2014-09-11",NA,NA,NA,"6:00-6:15",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"598","Main & Babcock","2014-09-11",NA,NA,NA,"6:00-6:15",11,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"599","Kagy & Highland","2014-09-11",NA,NA,NA,"6:00-6:15",6,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"600","MSU Centennial","2014-09-11",NA,NA,NA,"6:00-6:15",40,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"601","Koch & 8th","2014-09-11",NA,NA,NA,"6:00-6:15",16,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"602","Main & Wallace","2014-09-11",NA,NA,NA,"6:00-6:15",11,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"603","Olive & Willson","2014-09-11",NA,NA,NA,"6:00-6:15",8,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"604","College & 11th","2014-09-11",NA,NA,NA,"6:15-6:30",41,"College & 11th bozeman, montana",-111.051332,45.668484
"605","Kagy & 3rd","2014-09-11",NA,NA,NA,"6:15-6:30",8,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"606","Kagy & 7th","2014-09-11",NA,NA,NA,"6:15-6:30",13,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"607","Lamme & Grand","2014-09-11",NA,NA,NA,"6:15-6:30",NA,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"608","Peach & Rouse","2014-09-11",NA,NA,NA,"6:15-6:30",5,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"609","Garfield & Main","2014-09-11",NA,NA,NA,"6:15-6:30",5,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"610","Durston & 15th","2014-09-11",NA,NA,NA,"6:15-6:30",NA,"Durston & 15th bozeman, montana",-111.056505,45.685891
"611","Church & Story","2014-09-11",NA,NA,NA,"6:15-6:30",13,"Church & Story bozeman, montana",-111.0638997,45.6628635
"612","Grant & 7th","2014-09-11",NA,NA,NA,"6:15-6:30",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"613","Main & Babcock","2014-09-11",NA,NA,NA,"6:15-6:30",10,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"614","Kagy & Highland","2014-09-11",NA,NA,NA,"6:15-6:30",0,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"615","MSU Centennial","2014-09-11",NA,NA,NA,"6:15-6:30",16,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"616","Koch & 8th","2014-09-11",NA,NA,NA,"6:15-6:30",22,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"617","Main & Wallace","2014-09-11",NA,NA,NA,"6:15-6:30",15,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"618","Olive & Willson","2014-09-11",NA,NA,NA,"6:15-6:30",13,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"619","College & 11th","2014-09-11",NA,NA,NA,"6:30-6:45",24,"College & 11th bozeman, montana",-111.051332,45.668484
"620","Kagy & 3rd","2014-09-11",NA,NA,NA,"6:30-6:45",11,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"621","Kagy & 7th","2014-09-11",NA,NA,NA,"6:30-6:45",3,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"622","Lamme & Grand","2014-09-11",NA,NA,NA,"6:30-6:45",NA,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"623","Peach & Rouse","2014-09-11",NA,NA,NA,"6:30-6:45",6,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"624","Garfield & Main","2014-09-11",NA,NA,NA,"6:30-6:45",3,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"625","Durston & 15th","2014-09-11",NA,NA,NA,"6:30-6:45",NA,"Durston & 15th bozeman, montana",-111.056505,45.685891
"626","Church & Story","2014-09-11",NA,NA,NA,"6:30-6:45",19,"Church & Story bozeman, montana",-111.0638997,45.6628635
"627","Grant & 7th","2014-09-11",NA,NA,NA,"6:30-6:45",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"628","Main & Babcock","2014-09-11",NA,NA,NA,"6:30-6:45",6,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"629","Kagy & Highland","2014-09-11",NA,NA,NA,"6:30-6:45",5,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"630","MSU Centennial","2014-09-11",NA,NA,NA,"6:30-6:45",14,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"631","Koch & 8th","2014-09-11",NA,NA,NA,"6:30-6:45",19,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"632","Main & Wallace","2014-09-11",NA,NA,NA,"6:30-6:45",11,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"633","Olive & Willson","2014-09-11",NA,NA,NA,"6:30-6:45",18,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"634","College & 11th","2014-09-11",NA,NA,NA,"6:45-7:00",37,"College & 11th bozeman, montana",-111.051332,45.668484
"635","Kagy & 3rd","2014-09-11",NA,NA,NA,"6:45-7:00",10,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"636","Kagy & 7th","2014-09-11",NA,NA,NA,"6:45-7:00",8,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"637","Lamme & Grand","2014-09-11",NA,NA,NA,"6:45-7:00",NA,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"638","Peach & Rouse","2014-09-11",NA,NA,NA,"6:45-7:00",4,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"639","Garfield & Main","2014-09-11",NA,NA,NA,"6:45-7:00",4,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"640","Durston & 15th","2014-09-11",NA,NA,NA,"6:45-7:00",NA,"Durston & 15th bozeman, montana",-111.056505,45.685891
"641","Church & Story","2014-09-11",NA,NA,NA,"6:45-7:00",23,"Church & Story bozeman, montana",-111.0638997,45.6628635
"642","Grant & 7th","2014-09-11",NA,NA,NA,"6:45-7:00",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"643","Main & Babcock","2014-09-11",NA,NA,NA,"6:45-7:00",6,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"644","Kagy & Highland","2014-09-11",NA,NA,NA,"6:45-7:00",6,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"645","MSU Centennial","2014-09-11",NA,NA,NA,"6:45-7:00",33,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"646","Koch & 8th","2014-09-11",NA,NA,NA,"6:45-7:00",22,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"647","Main & Wallace","2014-09-11",NA,NA,NA,"6:45-7:00",12,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"648","Olive & Willson","2014-09-11",NA,NA,NA,"6:45-7:00",16,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"649","College & 11th","2014-09-09",NA,NA,NA,"5:00-5:15",51,"College & 11th bozeman, montana",-111.051332,45.668484
"650","Kagy & 3rd","2014-09-09",NA,NA,NA,"5:00-5:15",7,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"651","Kagy & 7th","2014-09-09",NA,NA,NA,"5:00-5:15",11,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"652","Lamme & Grand","2014-09-09",NA,NA,NA,"5:00-5:15",13,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"653","Peach & Rouse","2014-09-09",NA,NA,NA,"5:00-5:15",3,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"654","Garfield & Main","2014-09-09",NA,NA,NA,"5:00-5:15",4,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"655","Durston & 15th","2014-09-09",NA,NA,NA,"5:00-5:15",8,"Durston & 15th bozeman, montana",-111.056505,45.685891
"656","Church & Story","2014-09-09",NA,NA,NA,"5:00-5:15",21,"Church & Story bozeman, montana",-111.0638997,45.6628635
"657","Grant & 7th","2014-09-09",NA,NA,NA,"5:00-5:15",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"658","Main & Babcock","2014-09-09",NA,NA,NA,"5:00-5:15",13,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"659","Kagy & Highland","2014-09-09",NA,NA,NA,"5:00-5:15",3,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"660","MSU Centennial","2014-09-09",NA,NA,NA,"5:00-5:15",63,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"661","Koch & 8th","2014-09-09",NA,NA,NA,"5:00-5:15",14,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"662","Main & Wallace","2014-09-09",NA,NA,NA,"5:00-5:15",22,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"663","Olive & Willson","2014-09-09",NA,NA,NA,"5:00-5:15",9,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"664","College & 11th","2014-09-09",NA,NA,NA,"5:15-5:30",36,"College & 11th bozeman, montana",-111.051332,45.668484
"665","Kagy & 3rd","2014-09-09",NA,NA,NA,"5:15-5:30",12,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"666","Kagy & 7th","2014-09-09",NA,NA,NA,"5:15-5:30",6,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"667","Lamme & Grand","2014-09-09",NA,NA,NA,"5:15-5:30",10,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"668","Peach & Rouse","2014-09-09",NA,NA,NA,"5:15-5:30",3,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"669","Garfield & Main","2014-09-09",NA,NA,NA,"5:15-5:30",3,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"670","Durston & 15th","2014-09-09",NA,NA,NA,"5:15-5:30",8,"Durston & 15th bozeman, montana",-111.056505,45.685891
"671","Church & Story","2014-09-09",NA,NA,NA,"5:15-5:30",24,"Church & Story bozeman, montana",-111.0638997,45.6628635
"672","Grant & 7th","2014-09-09",NA,NA,NA,"5:15-5:30",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"673","Main & Babcock","2014-09-09",NA,NA,NA,"5:15-5:30",12,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"674","Kagy & Highland","2014-09-09",NA,NA,NA,"5:15-5:30",2,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"675","MSU Centennial","2014-09-09",NA,NA,NA,"5:15-5:30",35,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"676","Koch & 8th","2014-09-09",NA,NA,NA,"5:15-5:30",13,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"677","Main & Wallace","2014-09-09",NA,NA,NA,"5:15-5:30",15,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"678","Olive & Willson","2014-09-09",NA,NA,NA,"5:15-5:30",6,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"679","College & 11th","2014-09-09",NA,NA,NA,"5:30-5:45",31,"College & 11th bozeman, montana",-111.051332,45.668484
"680","Kagy & 3rd","2014-09-09",NA,NA,NA,"5:30-5:45",17,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"681","Kagy & 7th","2014-09-09",NA,NA,NA,"5:30-5:45",24,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"682","Lamme & Grand","2014-09-09",NA,NA,NA,"5:30-5:45",10,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"683","Peach & Rouse","2014-09-09",NA,NA,NA,"5:30-5:45",6,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"684","Garfield & Main","2014-09-09",NA,NA,NA,"5:30-5:45",1,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"685","Durston & 15th","2014-09-09",NA,NA,NA,"5:30-5:45",7,"Durston & 15th bozeman, montana",-111.056505,45.685891
"686","Church & Story","2014-09-09",NA,NA,NA,"5:30-5:45",26,"Church & Story bozeman, montana",-111.0638997,45.6628635
"687","Grant & 7th","2014-09-09",NA,NA,NA,"5:30-5:45",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"688","Main & Babcock","2014-09-09",NA,NA,NA,"5:30-5:45",12,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"689","Kagy & Highland","2014-09-09",NA,NA,NA,"5:30-5:45",5,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"690","MSU Centennial","2014-09-09",NA,NA,NA,"5:30-5:45",36,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"691","Koch & 8th","2014-09-09",NA,NA,NA,"5:30-5:45",19,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"692","Main & Wallace","2014-09-09",NA,NA,NA,"5:30-5:45",21,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"693","Olive & Willson","2014-09-09",NA,NA,NA,"5:30-5:45",12,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"694","College & 11th","2014-09-09",NA,NA,NA,"5:45-6:00",47,"College & 11th bozeman, montana",-111.051332,45.668484
"695","Kagy & 3rd","2014-09-09",NA,NA,NA,"5:45-6:00",8,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"696","Kagy & 7th","2014-09-09",NA,NA,NA,"5:45-6:00",12,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"697","Lamme & Grand","2014-09-09",NA,NA,NA,"5:45-6:00",5,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"698","Peach & Rouse","2014-09-09",NA,NA,NA,"5:45-6:00",4,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"699","Garfield & Main","2014-09-09",NA,NA,NA,"5:45-6:00",4,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"700","Durston & 15th","2014-09-09",NA,NA,NA,"5:45-6:00",11,"Durston & 15th bozeman, montana",-111.056505,45.685891
"701","Church & Story","2014-09-09",NA,NA,NA,"5:45-6:00",22,"Church & Story bozeman, montana",-111.0638997,45.6628635
"702","Grant & 7th","2014-09-09",NA,NA,NA,"5:45-6:00",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"703","Main & Babcock","2014-09-09",NA,NA,NA,"5:45-6:00",13,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"704","Kagy & Highland","2014-09-09",NA,NA,NA,"5:45-6:00",8,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"705","MSU Centennial","2014-09-09",NA,NA,NA,"5:45-6:00",51,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"706","Koch & 8th","2014-09-09",NA,NA,NA,"5:45-6:00",19,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"707","Main & Wallace","2014-09-09",NA,NA,NA,"5:45-6:00",17,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"708","Olive & Willson","2014-09-09",NA,NA,NA,"5:45-6:00",15,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"709","College & 11th","2014-09-09",NA,NA,NA,"6:00-6:15",25,"College & 11th bozeman, montana",-111.051332,45.668484
"710","Kagy & 3rd","2014-09-09",NA,NA,NA,"6:00-6:15",3,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"711","Kagy & 7th","2014-09-09",NA,NA,NA,"6:00-6:15",9,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"712","Lamme & Grand","2014-09-09",NA,NA,NA,"6:00-6:15",6,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"713","Peach & Rouse","2014-09-09",NA,NA,NA,"6:00-6:15",1,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"714","Garfield & Main","2014-09-09",NA,NA,NA,"6:00-6:15",7,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"715","Durston & 15th","2014-09-09",NA,NA,NA,"6:00-6:15",6,"Durston & 15th bozeman, montana",-111.056505,45.685891
"716","Church & Story","2014-09-09",NA,NA,NA,"6:00-6:15",25,"Church & Story bozeman, montana",-111.0638997,45.6628635
"717","Grant & 7th","2014-09-09",NA,NA,NA,"6:00-6:15",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"718","Main & Babcock","2014-09-09",NA,NA,NA,"6:00-6:15",12,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"719","Kagy & Highland","2014-09-09",NA,NA,NA,"6:00-6:15",6,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"720","MSU Centennial","2014-09-09",NA,NA,NA,"6:00-6:15",49,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"721","Koch & 8th","2014-09-09",NA,NA,NA,"6:00-6:15",19,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"722","Main & Wallace","2014-09-09",NA,NA,NA,"6:00-6:15",16,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"723","Olive & Willson","2014-09-09",NA,NA,NA,"6:00-6:15",6,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"724","College & 11th","2014-09-09",NA,NA,NA,"6:15-6:30",25,"College & 11th bozeman, montana",-111.051332,45.668484
"725","Kagy & 3rd","2014-09-09",NA,NA,NA,"6:15-6:30",6,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"726","Kagy & 7th","2014-09-09",NA,NA,NA,"6:15-6:30",8,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"727","Lamme & Grand","2014-09-09",NA,NA,NA,"6:15-6:30",4,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"728","Peach & Rouse","2014-09-09",NA,NA,NA,"6:15-6:30",4,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"729","Garfield & Main","2014-09-09",NA,NA,NA,"6:15-6:30",6,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"730","Durston & 15th","2014-09-09",NA,NA,NA,"6:15-6:30",8,"Durston & 15th bozeman, montana",-111.056505,45.685891
"731","Church & Story","2014-09-09",NA,NA,NA,"6:15-6:30",22,"Church & Story bozeman, montana",-111.0638997,45.6628635
"732","Grant & 7th","2014-09-09",NA,NA,NA,"6:15-6:30",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"733","Main & Babcock","2014-09-09",NA,NA,NA,"6:15-6:30",7,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"734","Kagy & Highland","2014-09-09",NA,NA,NA,"6:15-6:30",2,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"735","MSU Centennial","2014-09-09",NA,NA,NA,"6:15-6:30",45,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"736","Koch & 8th","2014-09-09",NA,NA,NA,"6:15-6:30",14,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"737","Main & Wallace","2014-09-09",NA,NA,NA,"6:15-6:30",14,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"738","Olive & Willson","2014-09-09",NA,NA,NA,"6:15-6:30",12,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"739","College & 11th","2014-09-09",NA,NA,NA,"6:30-6:45",32,"College & 11th bozeman, montana",-111.051332,45.668484
"740","Kagy & 3rd","2014-09-09",NA,NA,NA,"6:30-6:45",3,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"741","Kagy & 7th","2014-09-09",NA,NA,NA,"6:30-6:45",1,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"742","Lamme & Grand","2014-09-09",NA,NA,NA,"6:30-6:45",3,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"743","Peach & Rouse","2014-09-09",NA,NA,NA,"6:30-6:45",2,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"744","Garfield & Main","2014-09-09",NA,NA,NA,"6:30-6:45",5,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"745","Durston & 15th","2014-09-09",NA,NA,NA,"6:30-6:45",15,"Durston & 15th bozeman, montana",-111.056505,45.685891
"746","Church & Story","2014-09-09",NA,NA,NA,"6:30-6:45",28,"Church & Story bozeman, montana",-111.0638997,45.6628635
"747","Grant & 7th","2014-09-09",NA,NA,NA,"6:30-6:45",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"748","Main & Babcock","2014-09-09",NA,NA,NA,"6:30-6:45",10,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"749","Kagy & Highland","2014-09-09",NA,NA,NA,"6:30-6:45",4,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"750","MSU Centennial","2014-09-09",NA,NA,NA,"6:30-6:45",32,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"751","Koch & 8th","2014-09-09",NA,NA,NA,"6:30-6:45",6,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"752","Main & Wallace","2014-09-09",NA,NA,NA,"6:30-6:45",9,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"753","Olive & Willson","2014-09-09",NA,NA,NA,"6:30-6:45",7,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"754","College & 11th","2014-09-09",NA,NA,NA,"6:45-7:00",31,"College & 11th bozeman, montana",-111.051332,45.668484
"755","Kagy & 3rd","2014-09-09",NA,NA,NA,"6:45-7:00",2,"Kagy & 3rd bozeman, montana",-111.0662238,45.6624261
"756","Kagy & 7th","2014-09-09",NA,NA,NA,"6:45-7:00",0,"Kagy & 7th bozeman, montana",-111.0467198,45.6603288
"757","Lamme & Grand","2014-09-09",NA,NA,NA,"6:45-7:00",4,"Lamme & Grand bozeman, montana",-111.043819,45.6813005
"758","Peach & Rouse","2014-09-09",NA,NA,NA,"6:45-7:00",9,"Peach & Rouse bozeman, montana",-111.0317219,45.6855728
"759","Garfield & Main","2014-09-09",NA,NA,NA,"6:45-7:00",6,"Garfield & Main bozeman, montana",-111.0388678,45.6671845
"760","Durston & 15th","2014-09-09",NA,NA,NA,"6:45-7:00",7,"Durston & 15th bozeman, montana",-111.056505,45.685891
"761","Church & Story","2014-09-09",NA,NA,NA,"6:45-7:00",23,"Church & Story bozeman, montana",-111.0638997,45.6628635
"762","Grant & 7th","2014-09-09",NA,NA,NA,"6:45-7:00",NA,"Grant & 7th bozeman, montana",-111.0467,45.6651792
"763","Main & Babcock","2014-09-09",NA,NA,NA,"6:45-7:00",8,"Main & Babcock bozeman, montana",-111.0678734,45.6776496
"764","Kagy & Highland","2014-09-09",NA,NA,NA,"6:45-7:00",2,"Kagy & Highland bozeman, montana",-111.0217396,45.6565804
"765","MSU Centennial","2014-09-09",NA,NA,NA,"6:45-7:00",36,"MSU Centennial bozeman, montana",-111.0394726,45.6355485
"766","Koch & 8th","2014-09-09",NA,NA,NA,"6:45-7:00",9,"Koch & 8th bozeman, montana",-111.0480757,45.6753225
"767","Main & Wallace","2014-09-09",NA,NA,NA,"6:45-7:00",11,"Main & Wallace bozeman, montana",-111.0291737,45.6794472
"768","Olive & Willson","2014-09-09",NA,NA,NA,"6:45-7:00",5,"Olive & Willson bozeman, montana",-111.0387288,45.6772844
"769","College & S 11th Ave","2011-09-13",79,"sunny","calm","5:00-5:15",49,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
"770","Kagy & S 3rd Ave","2011-09-13",79,"sunny","calm","5:00-5:15",18,"Kagy & S 3rd Ave bozeman, montana",-111.0417608,45.6566129
"771","Kagy & S 7th Ave","2011-09-13",79,"sunny","calm","5:00-5:15",21,"Kagy & S 7th Ave bozeman, montana",-111.0467198,45.6603288
"772","Lamme & N Grand Ave","2011-09-13",79,"sunny","calm","5:00-5:15",12,"Lamme & N Grand Ave bozeman, montana",-111.0400182,45.6813079
"773","Peach & N Rouse Ave","2011-09-13",79,"sunny","calm","5:00-5:15",15,"Peach & N Rouse Ave bozeman, montana",-111.0317219,45.6855728
"774","Garfield & W Main / Huffine","2011-09-13",79,"sunny","calm","5:00-5:15",7,"Garfield & W Main / Huffine bozeman, montana",-111.0764603,45.6716595
"775","Durston &  N 15th Ave","2011-09-13",79,"sunny","calm","5:00-5:15",12,"Durston &  N 15th Ave bozeman, montana",-111.0567597,45.6856952
"776","Church & Story (at Galligator trail)","2011-09-13",79,"sunny","calm","5:00-5:15",24,"Church & Story (at Galligator trail) bozeman, montana",-111.0306755,45.6733571
"777","Grant & S 7th Ave","2011-09-13",79,"sunny","calm","5:00-5:15",41,"Grant & S 7th Ave bozeman, montana",-111.0467,45.6651792
"778","Main & W Babcock St","2011-09-13",79,"sunny","calm","5:00-5:15",14,"Main & W Babcock St bozeman, montana",-111.1052409,45.6784398
"779","Trail crossing & Highland Drive","2011-09-13",79,"sunny","calm","5:00-5:15",0,"Trail crossing & Highland Drive bozeman, montana",-111.0069564,45.6616514
"780","MSU Centennial Mall (best vantage point","2011-09-13",79,"sunny","calm","5:00-5:15",80,"MSU Centennial Mall (best vantage point bozeman, montana",-111.0546211,45.6673524
"781","College & S 11th Ave","2011-09-13",79,"sunny","calm","5:15-5:30",27,"College & S 11th Ave bozeman, montana",-111.0497201,45.6708017
